Division,MatchDate,HomeTeam,AwayTeam,FTResult,EloDiff,FormDiff,H2H,IsDerby
F1,2000-07-28,Marseille,Troyes,1,99.76999999999998,0.0,0.0,0
F1,2000-07-28,Paris SG,Strasbourg,1,72.38000000000011,0.0,0.0,0
F1,2000-07-29,Auxerre,Sedan,2,11.3599999999999,0.0,0.0,0
F1,2000-07-29,Bordeaux,Metz,0,61.23000000000002,0.0,0.0,0
F1,2000-07-29,Guingamp,St Etienne,0,-42.23000000000002,0.0,0.0,0
F1,2000-07-29,Lille,Monaco,0,-147.22000000000003,0.0,0.0,0
F1,2000-07-29,Lyon,Rennes,0,57.6099999999999,0.0,0.0,0
F1,2000-07-29,Nantes,Lens,2,-66.5300000000002,0.0,0.0,0
F1,2000-07-29,Toulouse,Bastia,2,-104.7199999999998,0.0,0.0,0
F1,2000-08-03,Sedan,Lyon,0,-63.26999999999998,7.599999999999999,0.0,0
F1,2000-08-04,Monaco,Nantes,2,124.75999999999999,3.8,0.0,0
F1,2000-08-04,St Etienne,Marseille,1,-68.9699999999998,-7.599999999999999,0.0,0
F1,2000-08-05,Bastia,Bordeaux,1,-65.74000000000001,7.599999999999999,0.0,0
F1,2000-08-05,Lens,Guingamp,1,166.46000000000004,7.599999999999999,0.0,0
F1,2000-08-05,Metz,Auxerre,2,52.74000000000001,3.8,0.0,0
F1,2000-08-05,Rennes,Paris SG,0,-71.26999999999998,-7.599999999999999,0.0,0
F1,2000-08-05,Strasbourg,Lille,2,4.740000000000009,-3.8,0.0,0
F1,2000-08-05,Troyes,Toulouse,0,37.789999999999964,0.0,0.0,0
D1,2000-08-11,Dortmund,Hansa Rostock,1,14.509999999999991,0.0,0.0,0
F1,2000-08-12,Auxerre,Bastia,1,-39.549999999999955,-5.199999999999998,0.0,0
F1,2000-08-12,Bordeaux,Troyes,0,148.45000000000005,0.0,0.0,0
F1,2000-08-12,Guingamp,Nantes,2,-75.07000000000016,-3.8,0.0,0
F1,2000-08-12,Lille,Rennes,1,-17.089999999999918,3.8,0.0,0
F1,2000-08-12,Lyon,Metz,0,20.899999999999864,1.3999999999999995,0.0,0
F1,2000-08-12,Strasbourg,Monaco,2,-139.79999999999995,-2.4000000000000004,0.0,0
F1,2000-08-12,Toulouse,St Etienne,0,-78.63000000000011,-5.199999999999999,0.0,0
D1,2000-08-12,Bayern Munich,Hertha,1,204.0,0.0,0.0,0
D1,2000-08-12,Freiburg,Stuttgart,1,-32.50999999999999,0.0,0.0,0
D1,2000-08-12,Hamburg,Munich 1860,0,44.559999999999945,0.0,0.0,0
D1,2000-08-12,Kaiserslautern,Bochum,2,82.48000000000002,0.0,0.0,0
D1,2000-08-12,Leverkusen,Wolfsburg,1,154.87000000000012,0.0,0.0,0
D1,2000-08-12,Werder Bremen,Cottbus,1,135.41000000000008,0.0,0.0,0
E1,2000-08-12,Barnsley,Norwich,1,98.26999999999998,0.0,0.0,0
E1,2000-08-12,Blackburn,Crystal Palace,1,65.81999999999994,0.0,0.0,0
E1,2000-08-12,Bolton,Burnley,0,158.02999999999997,0.0,0.0,0
E1,2000-08-12,Fulham,Crewe,1,60.87999999999988,0.0,0.0,0
E1,2000-08-12,Gillingham,Stockport,2,-20.0,0.0,0.0,0
E1,2000-08-12,Grimsby,Preston,2,-0.7300000000000182,0.0,0.0,0
E1,2000-08-12,Huddersfield,Watford,2,-8.029999999999973,0.0,0.0,0
E1,2000-08-12,Nottm Forest,West Brom,1,74.26999999999998,0.0,0.0,0
E1,2000-08-12,QPR,Birmingham,0,-50.86999999999989,0.0,0.0,0
E1,2000-08-12,Sheffield United,Portsmouth,1,22.99000000000001,0.0,0.0,0
E1,2000-08-12,Wimbledon,Tranmere,0,98.76999999999998,0.0,0.0,0
E1,2000-08-13,Wolves,Sheffield Weds,0,-42.74000000000001,0.0,0.0,0
D1,2000-08-13,Ein Frankfurt,Unterhaching,1,19.539999999999964,0.0,0.0,0
D1,2000-08-13,Schalke 04,FC Koln,1,45.23000000000002,0.0,0.0,0
F1,2000-08-13,Marseille,Lens,0,-51.960000000000036,-5.199999999999998,0.0,0
F1,2000-08-13,Paris SG,Sedan,1,85.43000000000006,0.0,0.0,0
D1,2000-08-18,Cottbus,Dortmund,2,-108.50999999999999,-11.399999999999999,0.0,0
E1,2000-08-18,Birmingham,Fulham,2,67.75999999999999,-7.599999999999999,0.0,0
F1,2000-08-18,Bastia,Lyon,1,-30.480000000000018,3.8,0.0,0
D1,2000-08-19,Munich 1860,Werder Bremen,1,-11.5,-7.599999999999999,0.0,0
D1,2000-08-19,Bochum,Bayern Munich,2,-271.9000000000001,0.0,0.0,0
D1,2000-08-19,Hertha,Hamburg,1,-56.88999999999987,-3.8,0.0,0
D1,2000-08-19,Stuttgart,Leverkusen,1,-188.66000000000008,-11.399999999999999,0.0,0
D1,2000-08-19,Unterhaching,Freiburg,0,-17.0,-11.399999999999999,0.0,0
D1,2000-08-19,Wolfsburg,Kaiserslautern,1,5.730000000000018,0.0,0.0,0
E1,2000-08-19,Burnley,Wimbledon,1,-129.49,0.0,0.0,0
E1,2000-08-19,Crewe,Blackburn,0,-113.51999999999998,-11.399999999999999,0.0,0
E1,2000-08-19,Norwich,Nottm Forest,0,-55.58999999999992,-11.399999999999999,0.0,0
E1,2000-08-19,Portsmouth,Grimsby,0,26.690000000000055,0.0,0.0,0
E1,2000-08-19,Preston,Sheffield United,1,-43.72999999999979,0.0,0.0,0
E1,2000-08-19,Sheffield Weds,Huddersfield,2,119.40999999999985,3.8,0.0,0
E1,2000-08-19,Stockport,Wolves,0,-110.44999999999982,7.599999999999999,0.0,0
E1,2000-08-19,Tranmere,Gillingham,1,59.809999999999945,3.8,0.0,0
E1,2000-08-19,Watford,Barnsley,1,-52.97000000000003,0.0,0.0,0
E1,2000-08-19,West Brom,Bolton,2,-134.97000000000003,-3.8,0.0,0
F1,2000-08-19,Lens,Toulouse,1,199.4000000000001,6.6,0.0,0
F1,2000-08-19,Metz,Paris SG,1,-56.11999999999989,-6.6,0.0,0
F1,2000-08-19,Nantes,Marseille,1,4.5,2.3999999999999995,0.0,0
F1,2000-08-19,Rennes,Strasbourg,1,36.66000000000008,2.4000000000000004,0.0,0
F1,2000-08-19,Sedan,Lille,1,-28.660000000000082,-3.8,0.0,0
F1,2000-08-19,St Etienne,Bordeaux,1,-78.79000000000019,3.8,0.0,0
F1,2000-08-19,Troyes,Auxerre,1,-59.6400000000001,-5.199999999999999,0.0,0
F1,2000-08-20,Monaco,Guingamp,1,196.71000000000004,3.8000000000000003,0.0,0
E1,2000-08-20,Crystal Palace,QPR,0,-54.1400000000001,-3.8,0.0,1
D1,2000-08-20,FC Koln,Ein Frankfurt,1,-76.16000000000008,-11.399999999999999,0.0,0
D1,2000-08-20,Hansa Rostock,Schalke 04,2,-4.669999999999845,-11.399999999999999,0.0,0
E1,2000-08-25,Gillingham,Portsmouth,0,-29.24000000000001,-2.4000000000000004,0.0,0
E1,2000-08-26,Barnsley,West Brom,1,133.28999999999996,6.2,0.0,0
E1,2000-08-26,Blackburn,Norwich,1,72.50999999999999,5.199999999999999,0.0,0
E1,2000-08-26,Bolton,Preston,1,141.81999999999994,-3.799999999999999,0.0,0
E1,2000-08-26,Fulham,Stockport,1,44.039999999999964,3.799999999999999,0.0,0
E1,2000-08-26,Grimsby,Sheffield Weds,2,-199.8599999999999,0.0,0.0,0
E1,2000-08-26,Huddersfield,Crystal Palace,2,31.070000000000164,3.8,0.0,0
E1,2000-08-26,Nottm Forest,Birmingham,2,-45.200000000000045,5.199999999999999,0.0,0
E1,2000-08-26,QPR,Crewe,1,89.08999999999992,1.3999999999999995,0.0,0
E1,2000-08-26,Sheffield United,Tranmere,1,7.619999999999891,-1.3999999999999995,0.0,0
E1,2000-08-26,Wimbledon,Watford,0,38.11000000000013,-8.999999999999998,0.0,0
E1,2000-08-26,Wolves,Burnley,1,137.93999999999983,-3.8,0.0,0
F1,2000-08-26,Bordeaux,Lens,0,-32.72000000000003,-7.6,0.0,0
F1,2000-08-26,Lille,Metz,1,-10.089999999999918,2.3999999999999986,0.0,0
F1,2000-08-26,Lyon,Troyes,1,114.46000000000004,-2.6000000000000005,0.0,0
F1,2000-08-26,Marseille,Guingamp,1,111.58000000000015,2.2,0.0,0
F1,2000-08-26,Rennes,Monaco,0,-120.33999999999992,-2.3999999999999986,0.0,0
F1,2000-08-26,Strasbourg,Sedan,1,-23.980000000000018,-6.0,0.0,0
F1,2000-08-26,Toulouse,Nantes,0,-135.41000000000008,-7.4,0.0,0
F1,2000-08-27,Auxerre,St Etienne,1,8.340000000000146,-1.3999999999999995,0.0,0
F1,2000-08-27,Paris SG,Bastia,1,57.319999999999936,-2.0,0.0,0
E1,2000-08-28,Birmingham,Barnsley,1,-5.059999999999945,-2.3999999999999995,0.0,0
E1,2000-08-28,Burnley,Gillingham,0,19.49000000000001,3.8000000000000003,0.0,0
E1,2000-08-28,Crystal Palace,Nottm Forest,2,-61.65000000000009,0.0,0.0,0
E1,2000-08-28,Norwich,Fulham,2,-33.02999999999997,-9.999999999999998,0.0,0
E1,2000-08-28,Portsmouth,Wolves,1,-128.18999999999983,-3.8,0.0,0
E1,2000-08-28,Preston,Wimbledon,0,-125.27999999999997,5.199999999999999,0.0,0
E1,2000-08-28,Sheffield Weds,Blackburn,0,71.90999999999985,-3.8,0.0,0
E1,2000-08-28,Stockport,Huddersfield,0,-36.01999999999998,1.4000000000000004,0.0,0
E1,2000-08-28,Tranmere,Bolton,2,-105.71000000000004,-3.8,0.0,0
E1,2000-08-28,Watford,Sheffield United,1,43.440000000000055,1.4000000000000004,0.0,0
E1,2000-08-28,West Brom,QPR,1,-75.51999999999998,-6.2,0.0,0
E1,2000-08-29,Crewe,Grimsby,1,14.430000000000064,0.0,0.0,0
E1,2000-09-01,Tranmere,Stockport,1,10.350000000000136,0.1999999999999993,0.0,0
